"tenant","mRID_Outage","mRID_Equipment","actualPeriodStart","actualPeriodEnd","cause","isTrippedEquipment","modifiedTimeStamp","rowState"
"SCE","122186365-2032938603","5467847:P5467847",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5504089:P5504089",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5504138:P5504138",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5619661:P5619661",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5627106:P5627106",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5627751:P5627751",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5634218:P5634218",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5643604:P5643604",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5643623:P5643623",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5653449:P5653449",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5653564:P5653564",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5654328:P5654328",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5700858:P5700858",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","5705503:P5705503",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","633484E:633484E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","641372E:641372E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","818362E:818362E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
